instance_id,premise,hypothesis,label,true_label,pred_label,correct,model,dataset,flag_romanization,flag_codeswitching,flag_negation,taxonomy_tier,annotator_note,annotator_id
MNLI-Nepali_test_6856,"मैले स्पष्ट रूपमा पोशाकको खस्रिएको आवाज, र हल्का कर्कश आवाज सुनेँ।",मैले स्पष्ट रूपमा लुगाको नरम आवाज र सानो कर्कश आवाज सुनेँ।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_3107,केहीलाई वृक्षारोपणको कामको लागि पालिएको छ।,घरेलु बनाइएकाहरू वृक्षारोपणको कामको लागि प्रयोग गरिन्छ।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_4595,"सुनौं, सुनौं!",म सहमत छु।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_6590,तपाईं उसलाई यो गर्न सक्षम मान्नुहुन्छ।,तपाईंलाई लाग्छ कि उहाँ त्यो अपराध गर्न सक्षम हुनुहुन्छ?,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_3756,त्यस्तो प्रदर्शनले कसैलाई मनाउन सक्नुहुन्न।,तपाईंको प्रदर्शन यो अवस्थामा भएमा मानिसहरूलाई मनाउन कुनै भाग्य हुनेछैन।,0,0,1,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_8924,जुनमा तपाईं व्यापारीहरूलाई सेतो रेशमकोशका थुप्राहरूमा मोलतोल गरिरहेको देख्न सक्नुहुन्छ।,गर्मी महिनाहरूमा व्यापारीहरू रेशमकोशका थुप्राहरूका लागि मोलतोल गर्छन्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_4572,"अल्फ्रेड इन्ग्लेथोर्पले उत्तेजित स्वरमा बोले, “सबैभन्दा दुर्भावनापूर्ण र पूरै झूटो कुरा।”",अल्फ्रेड इन्ग्लेथोर्पले आफ्नो प्रतिष्ठा बचाउन बोले।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_2925,"अजीब जीवहरूको भरमारले यस पैदल यात्री विशाल राक्षसहरूलाई छेक्ने भवनहरू सजाउँछ — भवनहरू, रेस्टुरेन्टहरू, सिनेमाहरू, थिएटरहरू, खेल केन्द्रहरू, र तातो नूडल बारहरूबाट सर्पहरू चिप्लन्छन्।",यो क्षेत्र चलचित्र हेर्न र त्यसपछि एक कचौरा नूडल्स पाउनको लागि राम्रो ठाउँ हो।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_246,वरपरका केही बलिया मानिसहरू महिलाहरूले आफ्ना बन्दुकहरूको बारेमा सोध्दा एकदमै उत्साहित हुन्छन्।,महिलाहरूले बन्दुकको बारेमा टिप्पणी गर्दा सबै पुरुषहरू नर्भस रूपमा उत्साहित हुन सक्छन्।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_309,"आखिर, यदि तपाईंसँग वास्तवमा नभएको पैसा खर्च गर्नु समृद्धिको कुञ्जी हो भने, ठूला सरकारी घाटाले पनि त्यस्तै काम गर्नेछ।","यदि ऋणमा डुब्दा राम्रो आर्थिक अवस्थाको परिणाम आयो भने, राष्ट्रिय घाटा बढाउनु एक व्यवहार्य रणनीति हुनेछ।",0,0,1,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_5082,"डाक वा मेलिङ समुदायका तत्वहरू वा तपाईंले जे भन्नुहुन्छ, संघीय र राज्य दुवै स्तरमा गोपनीयताको मुद्दामा संलग्न छन्।",गोपनीयताका मुद्दाहरूले हुलाक समुदायलाई असर गर्छ।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_2467,"त्यो उत्कृष्ट बनाउँछ, होइन र?",म त्यसको पनि साँच्चै कदर गर्छु।,0,0,1,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_8446,"म एक प्रकारको स्पोर्ट कारको बारेमा सोच्न चाहन्छु, तर कुनै लक्जरी प्रकारको स्पोर्ट कार होइन।","म स्पोर्ट कार किन्न इच्छुक छु तर धेरै महँगो, चकाचौंध गर्ने खालको होइन।",0,0,1,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_5563,‘अनि यो को हो?’ उनले काम्दै गरेको क्रमिनलाई देखाइन्।,"उनले यो को हो भनी सोधिन्, यो संकेत गर्दै कि उनले क्रमिनलाई चिनेकी थिइनन्।",0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_10016,"उनको विशेष मोह यो हो कि हिलारी क्लिन्टन, म तपाईंलाई मजाक गरिरहेको छैन, एक रातो हुन्।",उनको मोह अनुसार हिलारी क्लिन्टन एक रेड हुन्।,0,0,2,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_9181,"सन् १९९५ मा, एलएससीको राज्य योजना पहल मुख्यतया अनुदान प्राप्तकर्ताहरूले कोषको कमीलाई सम्बोधन गर्न र १९९५-९६ का प्रतिबन्धहरूको प्रतिक्रिया दिन कसरी सँगै काम गर्नेछन् भन्नेमा केन्द्रित थियो।",एलएससीले कोषको कमी सम्बन्धी मुद्दाहरू सम्बोधन गर्न कडा मेहनत गर्यो।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_5978,मिस्टर कार्टरले आफ्नो थकित शैलीको पुनः सुरु गर्दै चुपचाप सुने।,मिस्टर कार्टरले बारम्बार यो कुराकानीबाट थकित भएको संकेत देखाए।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_4705,"तर साँचो विश्वासीहरूका लागि, अवश्य पनि, यो घटना केवल एउटा पहेलीभन्दा बढी थियो, र तिनीहरू झुक्ने छैनन्।","साँच्चै विश्वास गर्ने मानिसहरूका लागि, यो घटना जटिल थियो।",0,0,2,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_3040,यसले मलाई मेरो प्रस्तावित संवैधानिक कर कटौती—व्यक्तिगत करहरूलाई सीमामा राख्ने र औसत कर बिलसँग जोड्ने—मा फर्काउँछ।,मलाई लाग्छ हामीले व्यक्तिगत करहरूलाई सीमामा राख्नुपर्छ।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_3023,धेरैजसो शहरहरूमा संगीत उत्सवहरू खोज्न तपाईंले लामो वा कडा खोजी गर्नुपर्नेछैन।,धेरै शहरहरूमा धेरै संगीत उत्सवहरू छन्।,0,0,2,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_2777,"ओरिएन्टलिज्मको प्रभाव यसको विषयभन्दा धेरै परसम्म फैलियो, यद्यपि त्यो विशाल थियो।",ओरिएन्टलिज्मको दूरगामी प्रभाव थियो।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_2189,"यातायातले आवाज र वायु प्रदूषण फाले पनि, विस्तृत प्लाजा डे ला सिबेलेस शानदार छ।","प्लाजा डे ला सिबेलेस शानदार छ, यदि तपाईंले वायु प्रदूषण र यातायातको आवाजलाई बेवास्ता गर्न सक्नुहुन्छ भने।",0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_6769,"यात्रुहरूको सङ्ख्या भए तापनि, स्काला अझै पनि हृदयमा एक ग्रीक गाउँ हो, जहाँ साना मुख्य चोक वरपरका सडकहरूमा धेरै परम्परागत टाभर्नाहरू फेला पार्न सकिन्छ।",ग्रीक गाउँ स्कालामा थोरै पर्यटकहरू आउँछन्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_8164,"उनीहरूसँग दुई जना पुरुषहरू थिए, जसले तीक्ष्ण कालो फलामको हतियार र कवच लगाएका थिए।",पुरुषहरूसँग भएका हतियारहरू धेरै धारिला थिए।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_4647,"विश्व बूढो हुँदैछ, आवरण कथा चिन्तित छ। जीवन प्रत्याशा बढ्दैछ, प्रजनन क्षमता घट्दैछ, र वृद्धवृद्धालाई सहयोग गर्ने लागतले विश्वव्यापी मन्दी निम्त्याउन सक्छ।",संसारमा औसतमा मानिसहरू बूढो हुँदैछन्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_1319,शेसोलले उल्लेख गरेको तर अपेक्षाकृत अ-परीक्षित छोडेको एउटा उल्लेखनीय तथ्याङ्क लिनुहोस्।,उनीहरूसँग धेरै सान्दर्भिक तर कम प्रयोग गरिएको डाटा थियो।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_6253,मोटर रेसिङ प्रशंसकहरूले इटालीको ग्राण्ड प्रिक्स मिलान नजिकको मोन्जा वा बोलोग्ना नजिकको इमोलामा हेर्न सक्छन्।,रेसिङ प्रशंसकहरूले इटालीको ग्राण्ड प्रिक्स हेर्न सक्ने दुई ठाउँ छन्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_7354,"ओह, हो, उनी धेरै राम्री छिन्, उनी मर्न सक्दिनँ, ओह, त्यो मात्र थियो।","आशा छ, उनी मर्दैनन् किनभने उनी यति राम्री व्यक्ति छिन्।",0,0,1,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_9740,"१३३ ""आहा!"" उसले करायो।","उसले त्यसपछि ""आहा!"" भन्यो।",0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_6315,मैले उनलाई बिर्सिसकेको थिएँ।,वक्ताले त्यो मानिसलाई बिर्सिसकेका छन्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_412,"ठीक छ, माथि आउनुहोस्, अलविदा।","कृपया माथि आउनुहोस्, चाँडै भेटौंला।",0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_8354,घनत्व (प्रति माइल बक्सहरू) अनुसार ग्रामीण मार्गहरूको वितरण चयनशील औसत (१९८९),ग्रामीण मार्गहरूको घनत्व फरक हुन्छ।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_3180,"हो, मलाई थाहा छ, मलाई प्राथमिकता कहाँ छ भन्ने बुझ्न गाह्रो छ, यो एट्लान्टामा जस्तो हो जहाँ उनीहरूसँग अनिवार्य क्याटालिटिक कन्भर्टर निरीक्षणहरू छन्।","एट्लान्टामा क्याटालिटिक कन्भर्टर निरीक्षण अनिवार्य छ, त्यसैले प्राथमिकता कहाँ छ म निश्चित छैन।",0,0,2,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_3218,हामी मातृत्व प्रधानतामा यति धेरै फस्छौं यदि बुबाको बढी इनपुट भए।,हामीले आमाहरूको बारेमा विस्तृत रूपमा छलफल गर्यौं तर बुबाहरूको बारेमा धेरै गरेनौं।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_3277,"प्रमुख वित्तीय अधिकारी ऐनले एजेन्सीहरूलाई पूर्ण, भरपर्दो, संगत, र समयमै जानकारी प्रदान गर्ने वित्तीय व्यवस्थापन प्रणालीहरू विकास र मर्मत गर्न आवश्यक छ।",सी.एफ.ओ. ऐनले एजेन्सीहरूलाई जानकारी दिन आवश्यक छ।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_653,"हो, कहिलेकाहीँ मात्र, तपाईंलाई थाहा छ, साँच्चै, साँच्चै राम्रो, त्यो जस्तै, र",कहिलेकाहीँ त्यो जस्तै राम्रो हुन्छ।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_5750,"२२१४, जसले आयोगलाई आफ्नो बजेट अधिकारको लगभग १०० प्रतिशत आवेदक र इजाजतपत्र प्राप्तकर्ताहरूबाट असुल गर्न आवश्यक छ, आणविक फोहोर कोषबाट विनियोजित रकम घटाएर।",आणविक फोहोर कोषले आयोगको बजेटबाट पैसा निकाल्छ।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_2969,सामाजिक सुरक्षाको सम्बन्धमा संघीय सरकारसँग मेरा दुई प्रश्नहरू छन्।,मलाई सामाजिक सुरक्षासँग सम्बन्धित दुई विषयहरूमा स्पष्टीकरण चाहिन्छ जुन संघीय सरकारले मात्र जवाफ दिन सक्छ।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_2815,"म प्रयास गर्नेछु, बाई।","म प्रयास गर्नेछु, शुभ बिदाई।",0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_2170,"किनभने उनी ती मानिसहरूलाई आफूप्रति क्रोधित बनाउँदैछन् र मलाई लाग्छ कि उनी सेनालाई पनि आफूप्रति क्रोधित बनाउँदैछन्, मतलब मैले अब कथाहरू सुनेको छु जहाँ",उनी ती मानिसहरू र सेनासँग शत्रुता कमाउँदैछन्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_7303,"पब, रेस्टुरेन्ट।","बार, खाने ठाउँ।",0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_9682,पृथ्वीमा पोइरोट बाहेक कसले हत्याको मुद्दालाई वैवाहिक सुखको पुनस्र्थापकको रूपमा सोचेको होला!,हत्याको मुद्दाले विवाहलाई राम्रो बनाउन सक्छ।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_6219,मिस्टर इन्गेलथर्पको उपस्थितिले कम्पनीमा एक प्रकारको बाध्यता र लुकेको शत्रुताको भावना ल्याएको जस्तो देखिन्थ्यो।,मिस्टर इन्गेलथर्पको आगमनले कम्पनीमा तनाव ल्यायो।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_8635,द थ्री मस्कटियर। त्यो कस्तो प्रकारको जीव हो?,थ्री मस्कटियर भनेको के हो?,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_4381,हामी करदाताहरूले वकिल र अर्थशास्त्रीहरूको एउटा फौजलाई काममा लगाएका छौं जसले आफ्नो हरेक जागृत क्षण—र सायद सपनामा पनि—माइक्रोसफ्टलाई कसरी समात्ने भनेर सोच्छन्।,करदाताको पैसाबाट वित्त पोषित वकिल र अर्थशास्त्रीहरू छन्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_843,"स्क्रिनमा रहेको एउटा चार्टले तपाईंको विजयी ह्यान्डको भुक्तानी सूची गर्दछ, र स्लटहरूमा जस्तै, तपाईंले जति बढी शर्त लगाउनुहुन्छ, भुक्तानी त्यति नै राम्रो हुन्छ।","तपाईंले जति धेरै पैसा लगाउनुहुन्छ, त्यति नै धेरै पैसा जित्न सक्नुहुन्छ।",0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_1484,सबैतिरका मानिसहरूले अनुहारको सुन्दरताका लागि एउटै मापदण्ड साझा गर्छन्।,सारा संसारका मानिसहरू अनुहारको सुन्दरता के हो भनेर सहमत छन्।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_9970,क्याथेड्रल र हाइ स्ट्रिटबाट अदालतको प्रवेशद्वार बीचमा मर्काट क्रोस छ।,क्याथेड्रलबाट धेरै टाढा नभई अदालतहरू छन्।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_5787,जुन प्लान्टले ०.१ पाउण्ड पारा उत्सर्जन गर्छ र जुन प्लान्टले २००० पाउण्ड पारा उत्सर्जन गर्छ - लागत जतिसुकै भए पनि - न त कुशल छ न आवश्यक।,पारा उत्सर्जन गर्ने बिरुवाहरू आवश्यक छैनन्।,0,0,2,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_7484,परिणामस्वरूप मोडल अनुमानित पोस्टे इटालियानेको एकाइ लागत ७४ सेन्ट छ जबकि वास्तविक मूल्य ७९ सेन्ट छ।,पोस्ते इटालियानेको एकाइ लागत मोडलले अनुमान गरेको भन्दा ५ सेन्ट बढी छ।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_6753,"काकीका पहिले नै दुई जना थिए, र उनका तेस्रो पति र सातौं लिभ-इन प्रेमीले उनलाई छोडेपछि उनी एक्लै बस्दै आएकी थिइन्।",काकीका तीन पति र सात लिभ-इन प्रेमी थिए।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_6214,केम्पटनको हलिउड १० माथिको निबन्धको उच्च बिन्दु भनेको ब्ल्याकलिस्टेड पटकथा लेखकहरूले वास्तवमा के उत्पादन गरे—अमेरिकन क्रान्ति भनिने छोरीहरूबाट उनीहरूले प्राप्त गरेका चम्किला समीक्षाहरूका अंशहरूसहितको सूची हो।,निबन्धको सबैभन्दा राम्रो भाग ब्ल्याकलिस्टेड कार्यहरूको सूची थियो।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_3429,"यहाँका बाहिरी किनमेल पेभिलियनहरूभन्दा बाहिर, तपाईंले नेपोलियनकी जोसेफिनको सेतो संगमरमरको मूर्ति देख्नुहुनेछ, जसले गुलाब समातेर खाडीपारि आफ्नो जन्मस्थलतर्फ फर्किएकी छिन्।",यो मूर्ति संगमरमरले बनेको छ।,0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_731,"इमानदारी, नैतिकता, करुणा र व्यवस्थापन जस्ता मूल्यहरूले उच्च आह्वानलाई प्रतिनिधित्व गर्दछ जुन धेरै मानिसहरूले प्राप्त गर्न प्रयास गर्नुपर्छ।",इमानदारी एक मूल्यवान चीज हो जुन धेरै मानिसहरूसँग छैन।,0,0,2,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_9941,"हाम्रो शीर्ष कथा: राष्ट्रपति चुनाव अन्तिम चरणमा पुग्दै गर्दा, बब डोल र राष्ट्रपति बिल क्लिन्टन याड्डा याड्डा याड्डा। अन्य समाचारहरूमा...","राष्ट्रपति चुनाव समाप्त हुँदै गर्दा, बब डोल र राष्ट्रपति बिल क्लिन्टन, र यस्तै कुराहरूको सबैभन्दा तातो कथा।",0,0,1,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_9364,"किन — मात्र अन्वेषण गर्दैछु, सर।",हामी केवल वरिपरि हेर्दैछौं।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_6951,"र, खैर, मसँग बेलुन छैन तर म एउटा मान्छेको लागि काम गर्छु जसको दुईवटा बेलुन छन्।","मसँग बेलुन छैन, तर मसँग तिनीहरूसँग अनुभव छ।",0,0,1,0,chipsalbert,mnli,False,False,True,,,
MNLI-Nepali_test_2216,"जोन नक्स यहाँ १६५१ देखि १६७२ सम्म एक भाडामा बस्ने व्यक्ति थिए, तर घर जेम्स मोसम्यान, एक शाही सुनार, र उनकी पत्नी मारियोटा एरिसको स्वामित्वमा थियो; तिनीहरूको प्रारम्भिक अक्षरहरू भएको एउटा पट्टिका बाहिरी भित्तामा देख्न सकिन्छ।",जेम्स मोसम्यान १६०० को दशकमा एक सम्पत्ति मालिक थिए।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_5267,"आज पनि यो धेरै हदसम्म पूर्ण छ, आकार र भव्यतामा रूसको सेन्ट पिटर्सबर्गसँग मात्र प्रतिस्पर्धा गर्छ।",यो रूसको सेन्ट पिटर्सबर्ग भन्दा सानो र कम भव्य छ।,0,0,2,0,chipsalbert,mnli,False,False,False,,,
MNLI-Nepali_test_3667,त्यसैले मलाई थाहा छैन कि यसले हाम्रो शिक्षा प्रणालीलाई वास्तवमै बाधा पुर्याउँछ वा मद्दत गर्छ।,म निश्चित छैन कि यसले हाम्रो शिक्षा प्रणालीलाई मद्दत गरिरहेको छ।,0,0,2,0,chipsalbert,mnli,False,False,True,,,
